"genero","especies","registros"
"Epidendrum",84,320
"Maxillaria",51,167
"Pleurothallis",31,167
"Stelis",30,136
"Oncidium",21,63
"Elleanthus",16,78
"Lepanthes",15,49
"Cyrtochilum",15,62
"Sobralia",15,78
"Masdevallia",10,17
"Scaphyglottis",10,38
"Prosthechea",9,31
"Acianthera",7,10
"Microchilus",7,16
"Dracula",6,9
"Brassia",5,8
"Telipogon",5,8
"Phragmipedium",5,13
"Vanilla",5,16
"Dichaea",5,20
"Specklinia",4,13
"Aspidogyne",3,5
"Miltoniopsis",3,5
"Ponthieva",3,9
"Malaxis",3,10
"Dimerandra",3,13
"Habenaria",3,15
"Trichocentrum",3,18
"Comparettia",3,21
"Cattleya",3,37
"Anguloa",2,2
"Stanhopea",2,2
"Pabstiella",2,2
"Fernandezia",2,2
"Scaphosepalum",2,3
"Lepanthopsis",2,3
"Lockhartia",2,3
"Restrepia",2,4
"Trichosalpinx",2,4
"Encyclia",2,5
"Polystachya",2,6
"Cranichis",2,6
"Laelia",2,7
"Pelexia",2,8
"Cyclopogon",2,9
"Campylocentrum",2,9
"Jacquiniella",2,10
"Xylobium",2,13
"Cyrtopodium",2,14
"Cleistes",2,21
"Catasetum",2,25
"Rodriguezia",2,37
"Stenorrhynchos",1,1
"Cybebus",1,1
"Echinorhyncha",1,1
"Epistephium",1,1
"Govenia",1,1
"Homalopetalum",1,1
"Huntleya",1,1
"Ixyophora",1,1
"Barbosella",1,1
"Monophyllorchis",1,1
"Notyliopsis",1,1
"Otoglossum",1,1
"Phaius",1,1
"Phloeophila",1,1
"Pleurothallopsis",1,1
"Polycycnis",1,1
"Porroglossum",1,1
"Sarcoglottis",1,1
"Angraecum",1,1
"Selenipedium",1,1
"Warczewiczella",1,1
"Warrea",1,1
"Zootrophion",1,1
"Altensteinia",1,2
"Stellamaris",1,2
"Trichopilia",1,2
"Sacoila",1,2
"Kefersteinia",1,2
"Psilochilus",1,3
"Ornithocephalus",1,3
"Bletia",1,3
"Crossoglossa",1,3
"Ionopsis",1,3
"Octomeria",1,4
"Nemaconia",1,4
"Gravendeelia",1,4
"Pterichis",1,4
"Prescottia",1,4
"Anathallis",1,5
"Gomphichis",1,5
"Galeandra",1,5
"Liparis",1,6
"Eulophia",1,7
"Arundina",1,10
"Oeceoclades",1,10
"Trizeuxis",1,10
"Erycina",1,11
"Coccineorchis",0,1
"Lepantes",0,1
"Oliveriana",0,1
"Notylia",0,1
"Myoxanthus",0,1
"Erythrodes",0,2
"Mormodes",0,2
"Platystele",0,3
NULL,0,54
