"municipio","especies_prot_aguas","reg_prot_aguas"
"BUENAVENTURA",73,1749
"VIJES",68,331
"CALI",62,440
"LA CUMBRE",39,93
"DAGUA",37,730
"PALMIRA",35,112
"SAN PEDRO",29,39
"YUMBO",24,85
"RIOFRÍO",23,123
"EL CAIRO",22,50
"TULUÁ",22,185
"BUGA",21,389
"EL CERRITO",18,47
"BOLÍVAR",18,31
"ARGELIA",16,91
"ANSERMANUEVO",16,92
"YOTOCO",16,70
"ZARZAL",15,47
"TRUJILLO",14,77
"CARTAGO",13,46
"ALCALÁ",13,36
"JAMUNDÍ",12,20
"EL ÁGUILA",12,53
"CALIMA",12,204
"ANDALUCÍA",11,34
"BUGALAGRANDE",10,19
"LA VICTORIA",9,22
"RESTREPO",9,126
"ROLDANILLO",8,65
"TORO",8,20
"CAICEDONIA",7,16
"GUACARÍ",6,14
"ULLOA",5,11
"LA UNIÓN",4,4
"SEVILLA",3,11
"EL DOVIO",3,4
"GINEBRA",2,3
"OBANDO",2,3
"PRADERA",1,4
"CANDELARIA",1,2
"VERSALLES",1,3
"FLORIDA",0,0
