"municipio","area_total","fert_muyalta_has","fert_muyalta_porcent","fert_alta_has","fert_alta_porcent","fert_moder_has","fert_moder_porcent","fert_baja_has","fert_baja_porcent","fert_muybaja_has","fert_muybaja_porcent"
"GINEBRA",26843.0844139971,2753.15767586717,10.2564877918111,12852.1225541655,47.8787100466885,9089.69889708762,33.8623488899356,74.2257435576711,0.276517193079968,2073.87954331915,7.72593607848487
"GUACARÍ",16228.571499786,6047.24509551587,37.2629537701184,4668.13372425873,28.7649083859308,4074.87832890583,25.1092853672276,1376.15707641794,8.47984110268786,21.086480536,0.129934298507284
"CANDELARIA",29601.8247766258,5874.30052317999,19.8443865116669,16764.8125119114,56.6343887189996,6851.98105368995,23.1471576681328,0,0,59.4181246430109,0.200724533340015
"EL CERRITO",44137.7270394262,10777.8524323742,24.4186847744715,22752.6282293522,51.5491615801337,6645.7540941095,15.0568562086878,0,0,3942.79358121147,8.93293299333143
"FLORIDA",40112.2471178529,1201.52562569194,2.9954084151949,11086.72705586,27.6392569662985,21700.0218457708,54.0982453114991,0,0,6122.6257413266,15.2637316063043
"ANSERMANUEVO",30519.8888204646,91.3280490473039,0.299241093519532,14203.1946077029,46.537504416396,15177.039969202,49.7283592954156,40.9312272758602,0.134113290899063,775.980279926971,2.54253966812176
"BUGA",82506.7158082045,5630.9833348203,6.82487877460801,44135.7919882011,53.4935751058125,24153.6510852601,29.2747697549952,2137.54907331759,2.59075767636486,5346.12402779121,6.47962287120824
"BUGALAGRANDE",39640.9543261063,6278.64924045458,15.8387943660571,18523.2470019804,46.7275506275629,14740.0342745408,37.1838532273515,0,0,0,0
"CAICEDONIA",16690.4493355141,4906.95036799672,29.3997499369635,2195.69920650948,13.1554229749672,9587.78039864534,57.4447110794338,0,0,0,0
"CARTAGO",24806.9561815832,1202.11014545634,4.8458591076514,14153.2544905474,57.0535715343217,9377.95119417313,37.8037157220255,0,0,0,0
"OBANDO",21453.1159443719,4053.73532781086,18.8957880912136,10785.966998863,50.2769249317029,6545.62344042183,30.5112947573429,0,0,0,0
"ANDALUCÍA",11034.1730751209,1458.80653721627,13.2208052863109,3381.71051140075,30.6476116368485,6149.79514591014,55.734082690585,0,0,0,0
"EL ÁGUILA",18764.5567007602,0,0,6154.46393232851,32.7983444025575,8172.45730129862,43.5526265374951,4435.71863193041,23.6388138695049,0,0
"VERSALLES",20036.2510152668,0,0,16440.9539801478,82.0560391643149,2754.65687668782,13.7483647743726,840.379630617683,4.19429577907238,0,0
"CALI",56201.3021765893,530.024988814172,0.943083110688055,7762.87515141039,13.8126250651965,22135.1425492537,39.3854620658133,20522.1097863976,36.5153635086876,5085.64497943832,9.04898068635276
"YOTOCO",32731.250376713,1820.97223162985,5.56340564650532,18144.2124487387,55.4339117507333,8945.8605611208,27.3312521158233,0,0,3350.19579986959,10.2354653773115
"SEVILLA",53687.8597585738,1843.61617206066,3.43395356110511,21719.3668268085,40.4548941315173,28792.060937452,53.6286249199085,0,0,1332.81543186841,2.4825266603323
"PALMIRA",100396.814551768,14160.5260393183,14.1045571042662,51324.6776843412,51.121818867945,18168.2125216962,18.0964033598179,929.692899362185,0.926018323900912,15687.7905204592,15.6257851312305
"TULUÁ",90860.1570376231,6188.78273236821,6.81132735639624,50684.0449074467,55.782475575581,30061.341263905,33.0852842918346,2190.59052796876,2.41094732761873,1630.39385899244,1.79439912074699
"ALCALÁ",6233.41263689177,0,0,0,0,6233.4119842455,99.9999895298722,0,0,0,0
"ULLOA",4184.55058099905,0,0,0,0,4184.01092390195,99.9871035828903,0,0,0,0
"CALIMA",79197.2179518103,0,0,5030.09186431078,6.35134919432583,24941.0250266068,31.4922994413552,25231.1169710082,31.8585900155745,21934.886444347,27.6965365850274
"ZARZAL",36761.8856024541,7822.17189438815,21.2779398178258,27551.9128911376,74.9469523655182,1228.50327383561,3.34178525857117,0,0,0,0
"SAN PEDRO",20190.728987056,3076.44537019513,15.2369207281589,6784.73727084874,33.603230845198,4933.17261065627,24.4328603183117,5333.06302962774,26.4134248597299,0,0
"EL CAIRO",21395.389885663,0,0,12219.1485484067,57.1111282089544,7647.13231315918,35.7419628902556,1485.48482346917,6.94301357165071,0,0
"ARGELIA",9070.24559475329,0,0,4046.40624906907,44.611870834123,4921.8965346893,54.2642035794089,101.942810994913,1.12392558646794,0,0
"EL DOVIO",23510.4574649198,0,0,14366.7380093046,61.1078624511725,8040.35911642296,34.1990755748588,1058.37931747944,4.50173850959156,0,0
"VIJES",11358.7866041388,70.8112502683603,0.62340505844664,2427.99884679237,21.3755124680984,6275.91639689204,55.2516445251759,246.99281346941,2.17446477407555,2283.88042363815,20.1067288543477
"RIOFRÍO",30764.0460627283,2190.42764810036,7.12008961251082,12000.4026718747,39.0078816271624,8843.95707635272,28.7477045714981,4085.23109231872,13.2792386410711,3479.73168037716,11.3110339039343
"YUMBO",23019.2614425741,2986.23601078114,12.9727707304201,2740.20865539117,11.9039816382777,872.758932862874,3.79142890852574,4495.67757901725,19.5300687219377,11769.0116848466,51.1267996768993
"RESTREPO",13599.3224421043,0,0,2961.02111436501,21.7732988313999,9725.26553594905,71.5128682134856,0,0,913.035791790285,6.71383295511452
"TRUJILLO",30721.1364955707,254.670177634057,0.828973816352059,8025.50593393716,26.1237273402768,10642.0453110694,34.6407930338248,11379.8216822133,37.0423199801022,326.515381413994,1.06283627059523
"LA VICTORIA",26450.9406604695,1414.44858375664,5.34744152169419,17381.4650184746,65.7120865438669,7591.31191379129,28.699591486122,0,0,0,0
"BOLÍVAR",74250.1550570502,255.918152931652,0.344670193260899,23835.3123792271,32.1013637761607,8883.40158103076,11.9641522286454,63948.4602794738,86.1256925730848,0,0
"JAMUNDÍ",62772.2187254502,0,0,10601.8690884281,16.8894286416704,29700.7841012261,47.3151733430514,20536.8835570093,32.7165169146441,1360.37779625243,2.16716538601635
"DAGUA",91440.699372677,0,0,1550.38461453511,1.6955082640131,39290.6422805054,42.9684402569712,48042.2103331505,52.5391982593538,15506.4544105826,16.9579350518572
"BUENAVENTURA",627503.495285156,0,0,0,0,29887.9646248098,4.76299572024341,207744.041173636,33.1064356986938,434050.333783227,69.1709826390659
"PRADERA",35633.8150656371,2847.54677819734,7.99113643305436,15222.6966361425,42.7198059149783,12505.4208879989,35.0942520888208,0,0,5058.15066423303,14.1948052851371
"TORO",17560.1905024757,674.061263424272,3.83857602985139,6566.19990735985,37.3925323101371,9631.77261462586,54.8500462638372,574.534211920686,3.27179942518099,0.533214355720784,0.00303649527973862
"ROLDANILLO",23547.2042008472,1426.25910452964,6.05702100497487,17058.0085666085,72.4417575059498,4629.4201352036,19.6601689768208,177.982157300943,0.755852609009694,100.697505383361,0.42764102491513
"LA UNIÓN",12075.8770906828,654.556101372838,5.42036074446189,9531.62460060303,78.9311163820738,1811.71592030168,15.0027687984628,0,0,0,0
"LA CUMBRE",25494.1371929818,0,0,3671.70835042879,14.4021675361485,14363.9618459898,56.3422160054273,1675.99624426826,6.5740457564088,5782.47075229495,22.6815707020153
