"municipio","hab_con_priv","pob_total","porc_hab_priv"
"BUENAVENTURA",15152,43484,34.845000459939286
"DAGUA",6292,29552,21.291283161884138
"JAMUNDÍ",4563,25853,17.64978919274359
"TULUÁ",3577,30930,11.564823795667637
"TRUJILLO",3011,8809,34.18095129980701
"SEVILLA",2857,8370,34.13381123058542
"BOLÍVAR",2728,10140,26.90335305719921
"BUGALAGRANDE",2540,10532,24.116976832510446
"LA CUMBRE",2158,10080,21.408730158730158
"FLORIDA",2121,16406,12.928197001097159
"EL ÁGUILA",2117,5224,40.52450229709035
"CALI",1745,41131,4.2425421215141865
"CAICEDONIA",1733,4601,37.66572484242556
"CALIMA",1701,5216,32.611196319018404
"ANSERMANUEVO",1695,5710,29.68476357267951
"EL DOVIO",1693,3326,50.90198436560433
"PALMIRA",1680,65368,2.570064863541794
"CANDELARIA",1635,62498,2.6160837146788696
"EL CAIRO",1508,3591,41.99387357282094
"RIOFRÍO",1442,7692,18.7467498699948
"BUGA",1369,14717,9.302167561323639
"YOTOCO",1269,7057,17.982145387558454
"ROLDANILLO",1250,7889,15.844847255672455
"YUMBO",1178,10353,11.378344441224765
"ARGELIA",1134,2411,47.034425549564496
"RESTREPO",1133,4172,27.15723873441994
"EL CERRITO",1079,19344,5.577956989247312
"VERSALLES",1038,2962,35.0438892640108
"GINEBRA",958,10444,9.172730754500192
"PRADERA",949,5068,18.72533543804262
"LA UNIÓN",948,4947,19.16312916919345
"OBANDO",946,2898,32.6432022084196
"VIJES",931,3183,29.24913603518693
"ALCALÁ",789,2622,30.091533180778033
"TORO",778,3736,20.82441113490364
"GUACARÍ",772,11553,6.68224703540206
"SAN PEDRO",749,8500,8.811764705882354
"ANDALUCÍA",610,3716,16.41550053821313
"CARTAGO",592,2824,20.96317280453258
"ZARZAL",546,9536,5.725671140939597
"ULLOA",498,2573,19.35483870967742
"LA VICTORIA",474,3006,15.768463073852296
