"municipio","logro_educ_priv","pob_total","porc_log_educ_priv"
"BUENAVENTURA",15885,43484,36.530677950510532610000
"DAGUA",13716,29552,46.413102328099621007000
"JAMUNDÍ",8544,25853,33.048388968398251654000
"TULUÁ",7219,30930,23.339799547365017782000
"SEVILLA",5980,8370,71.445639187574671446000
"PALMIRA",5740,65368,8.781054950434463346000
"LA CUMBRE",5154,10080,51.130952380952380952000
"TRUJILLO",4882,8809,55.420592575774775797000
"BOLÍVAR",4590,10140,45.266272189349112426000
"CALI",4528,41131,11.008728209866037782000
"BUGALAGRANDE",4227,10532,40.134827193315609571000
"FLORIDA",4086,16406,24.905522369864683652000
"CANDELARIA",3831,62498,6.129796153476911261000
"CALIMA",3656,5216,70.092024539877300613000
"EL ÁGUILA",3469,5224,66.405053598774885145000
"YUMBO",3449,10353,33.314015261276924563000
"RIOFRÍO",3310,7692,43.031721268850754030000
"ANSERMANUEVO",3258,5710,57.057793345008756567000
"YOTOCO",3132,7057,44.381465211846393652000
"BUGA",3062,14717,20.805870761704151661000
"EL CERRITO",3025,19344,15.637923904052936311000
"CAICEDONIA",2979,4601,64.746794175179308846000
"GINEBRA",2960,10444,28.341631558789735733000
"ROLDANILLO",2853,7889,36.164279376346812017000
"RESTREPO",2778,4172,66.586768935762224353000
"EL CAIRO",2735,3591,76.162628794207741576000
"EL DOVIO",2608,3326,78.412507516536380036000
"GUACARÍ",2264,11553,19.596641564961481866000
"VIJES",2167,3183,68.080427269871190701000
"ALCALÁ",1993,2622,76.010678871090770404000
"ARGELIA",1943,2411,80.588967233513065118000
"LA UNIÓN",1883,4947,38.063472811805134425000
"PRADERA",1838,5068,36.266771902131018153000
"SAN PEDRO",1699,8500,19.988235294117647059000
"VERSALLES",1687,2962,56.954760297096556381000
"OBANDO",1604,2898,55.348516218081435473000
"ANDALUCÍA",1473,3716,39.639397201291711518000
"ULLOA",1472,2573,57.209483093664982511000
"TORO",1460,3736,39.079229122055674518000
"CARTAGO",1348,2824,47.733711048158640227000
"ZARZAL",1272,9536,13.338926174496644295000
"LA VICTORIA",865,3006,28.775781769793745842000
