"municipio","priv_agua","pob_total","prc_priv_agua"
"BUENAVENTURA",16912,43484,38.89246619446233
"DAGUA",4204,29552,14.225771521386031
"JAMUNDÍ",3533,25853,13.665725447723668
"SEVILLA",3431,8370,40.99163679808841
"TRUJILLO",3300,8809,37.46168691111363
"TULUÁ",3156,30930,10.20368574199806
"BOLÍVAR",2540,10140,25.04930966469428
"ANSERMANUEVO",2426,5710,42.486865148861646
"EL ÁGUILA",2283,5224,43.702143950995406
"BUGALAGRANDE",2232,10532,21.192556019749336
"CALI",1951,41131,4.743380904913569
"YOTOCO",1751,7057,24.81224316281706
"RIOFRÍO",1734,7692,22.54290171606864
"CALIMA",1685,5216,32.30444785276074
"EL CAIRO",1643,3591,45.753272069061545
"CAICEDONIA",1614,4601,35.07933058030863
"LA CUMBRE",1564,10080,15.515873015873016
"FLORIDA",1493,16406,9.10032914787273
"CANDELARIA",1394,62498,2.2304713750840026
"BUGA",1342,14717,9.1187062580689
"YUMBO",1339,10353,12.933449241765672
"OBANDO",1324,2898,45.686680469289165
"PALMIRA",1216,65368,1.8602374250397749
"ARGELIA",1151,2411,47.73952716715056
"EL CERRITO",1096,19344,5.665839536807279
"ROLDANILLO",1001,7889,12.688553682342501
"PRADERA",959,5068,18.92265193370166
"EL DOVIO",927,3326,27.87131689717378
"CARTAGO",900,2824,31.86968838526912
"VIJES",897,3183,28.18096135721018
"LA UNIÓN",744,4947,15.039417828987265
"VERSALLES",698,2962,23.565158676569887
"GINEBRA",661,10444,6.3289927230946
"TORO",629,3736,16.836188436830835
"RESTREPO",599,4172,14.357622243528283
"SAN PEDRO",476,8500,5.6
"LA VICTORIA",454,3006,15.103127079174984
"ANDALUCÍA",414,3716,11.141011840688913
"ZARZAL",371,9536,3.890520134228188
"GUACARÍ",358,11553,3.0987622262615773
"ULLOA",115,2573,4.469490866692577
"ALCALÁ",51,2622,1.9450800915331807
