"municipio","priv_analfabet","pob_total","prc_priv_analfb"
"BUENAVENTURA",6396,43484,14.708858430687149296000
"DAGUA",3247,29552,10.987412019491066594000
"JAMUNDÍ",1875,25853,7.252543225157621939000
"BOLÍVAR",1818,10140,17.928994082840236686000
"TULUÁ",1799,30930,5.816359521500161655000
"TRUJILLO",1621,8809,18.401634691792484959000
"SEVILLA",1501,8370,17.933094384707287933000
"EL DOVIO",1248,3326,37.522549609140108238000
"LA CUMBRE",1206,10080,11.964285714285714286000
"BUGALAGRANDE",1120,10532,10.634257500949487277000
"EL ÁGUILA",1026,5224,19.640122511485451761000
"FLORIDA",1001,16406,6.101426307448494453000
"CALI",957,41131,2.326712212200043763000
"CANDELARIA",818,62498,1.308841882940254088000
"RIOFRÍO",788,7692,10.244409776391055642000
"PALMIRA",787,65368,1.203953004528209521000
"ANSERMANUEVO",752,5710,13.169877408056042032000
"RESTREPO",749,4172,17.953020134228187919000
"CAICEDONIA",747,4601,16.235600956313844816000
"YUMBO",741,10353,7.157345696899449435000
"CALIMA",736,5216,14.110429447852760736000
"EL CAIRO",733,3591,20.412141464773043720000
"ARGELIA",726,2411,30.111986727498963086000
"BUGA",720,14717,4.892301420126384453000
"YOTOCO",675,7057,9.564970950828964149000
"EL CERRITO",673,19344,3.479114971050454921000
"ROLDANILLO",664,7889,8.416782862213208265000
"VIJES",661,3183,20.766572415959786365000
"ALCALÁ",558,2622,21.281464530892448513000
"PRADERA",496,5068,9.786898184688239937000
"VERSALLES",480,2962,16.205266711681296421000
"GUACARÍ",471,11553,4.076863152427940795000
"LA UNIÓN",461,4947,9.318779058014958561000
"TORO",446,3736,11.937901498929336188000
"SAN PEDRO",443,8500,5.211764705882352941000
"GINEBRA",440,10444,4.212945231711987744000
"ZARZAL",394,9536,4.131711409395973154000
"OBANDO",385,2898,13.285024154589371981000
"ULLOA",371,2573,14.418966187329965021000
"ANDALUCÍA",349,3716,9.391819160387513455000
"LA VICTORIA",297,3006,9.880239520958083832000
"CARTAGO",288,2824,10.198300283286118980000
