"municipio","priv_cuid_prim_infancia","pob_total","prc_priv_cuid_prm_inf"
"BUENAVENTURA",4079,43484,9.380461779045166038000
"DAGUA",706,29552,2.389009204114780726000
"BOLÍVAR",639,10140,6.301775147928994083000
"JAMUNDÍ",579,25853,2.239585347928673655000
"TULUÁ",390,30930,1.260911736178467507000
"EL DOVIO",305,3326,9.170174383644016837000
"TRUJILLO",254,8809,2.883414689522079691000
"CALI",236,41131,0.573776470302205149000
"ANSERMANUEVO",216,5710,3.782837127845884413000
"BUGALAGRANDE",216,10532,2.050892518040258261000
"SEVILLA",203,8370,2.425328554360812425000
"YUMBO",193,10353,1.864193953443446344000
"PALMIRA",192,65368,0.293721698690490760000
"CANDELARIA",185,62498,0.296009472303113700000
"EL CAIRO",171,3591,4.761904761904761905000
"LA CUMBRE",170,10080,1.686507936507936508000
"FLORIDA",165,16406,1.005729611117883701000
"CAICEDONIA",127,4601,2.760269506628993697000
"EL ÁGUILA",127,5224,2.431087289433384380000
"YOTOCO",127,7057,1.799631571489301403000
"CALIMA",122,5216,2.338957055214723926000
"BUGA",117,14717,0.794998980770537474000
"EL CERRITO",116,19344,0.599669148056244830000
"TORO",99,3736,2.649892933618843683000
"VIJES",96,3183,3.016022620169651272000
"RIOFRÍO",96,7692,1.248049921996879875000
"GINEBRA",96,10444,0.919188050555342781000
"RESTREPO",93,4172,2.229146692233940556000
"OBANDO",82,2898,2.829537612146307798000
"SAN PEDRO",80,8500,0.941176470588235294000
"ROLDANILLO",78,7889,0.988718468753961212000
"ARGELIA",76,2411,3.152218996267109083000
"CARTAGO",75,2824,2.655807365439093484000
"VERSALLES",72,2962,2.430790006752194463000
"ALCALÁ",70,2622,2.669717772692601068000
"PRADERA",67,5068,1.322020520915548540000
"GUACARÍ",59,11553,0.510689864104561586000
"ULLOA",51,2573,1.982122036533229693000
"ANDALUCÍA",47,3716,1.264800861141011841000
"LA UNIÓN",37,4947,0.747928037194259147000
"LA VICTORIA",28,3006,0.931470392548236860000
"ZARZAL",26,9536,0.272651006711409396000
