"municipio","priv_haccrit","pob_total","prc_priv_haccrit"
"BUENAVENTURA",4314,43484,9.920890442461595069000
"DAGUA",1413,29552,4.781402273957769356000
"JAMUNDÍ",885,25853,3.423200402274397555000
"BOLÍVAR",831,10140,8.195266272189349112000
"TRUJILLO",587,8809,6.663639459643546373000
"TULUÁ",568,30930,1.836404784998383446000
"EL DOVIO",533,3326,16.025255562236921227000
"LA CUMBRE",504,10080,5.000000000000000000000
"FLORIDA",470,16406,2.864805558941850542000
"CALI",440,41131,1.069752741241399431000
"SEVILLA",439,8370,5.244922341696535245000
"BUGALAGRANDE",417,10532,3.959361944549943031000
"CANDELARIA",405,62498,0.648020736663573234000
"YUMBO",386,10353,3.728387906886892688000
"PALMIRA",375,65368,0.573675192754864766000
"CALIMA",321,5216,6.154141104294478528000
"BUGA",308,14717,2.092817829720731127000
"CAICEDONIA",292,4601,6.346446424690284721000
"ARGELIA",287,2411,11.903774367482372460000
"RESTREPO",269,4172,6.447746883988494727000
"GINEBRA",254,10444,2.432018383761011107000
"EL CAIRO",247,3591,6.878306878306878307000
"ANSERMANUEVO",228,5710,3.992994746059544658000
"EL ÁGUILA",227,5224,4.345329249617151608000
"RIOFRÍO",215,7692,2.795111804472178887000
"EL CERRITO",206,19344,1.064929693961952026000
"YOTOCO",204,7057,2.890746776250531387000
"GUACARÍ",193,11553,1.670561758850515018000
"VIJES",181,3183,5.686459315111530003000
"PRADERA",175,5068,3.453038674033149171000
"ROLDANILLO",164,7889,2.078843959944226138000
"OBANDO",140,2898,4.830917874396135266000
"SAN PEDRO",134,8500,1.576470588235294118000
"ALCALÁ",130,2622,4.958047292143401983000
"VERSALLES",123,2962,4.152599594868332208000
"ULLOA",121,2573,4.702681694520015546000
"LA UNIÓN",92,4947,1.859712957347887609000
"ZARZAL",90,9536,0.943791946308724832000
"LA VICTORIA",87,3006,2.894211576846307385000
"ANDALUCÍA",74,3716,1.991388589881593111000
"TORO",62,3736,1.659528907922912206000
"CARTAGO",28,2824,0.991501416430594901000
