"municipio","priv_inasist_escolar","pob_total","prc_priv_inesc"
"BUENAVENTURA",2692,43484,6.190782816668199798000
"DAGUA",1520,29552,5.143475906876015160000
"JAMUNDÍ",1342,25853,5.190886937686148609000
"BOLÍVAR",858,10140,8.461538461538461538000
"TULUÁ",766,30930,2.476559974135143873000
"EL DOVIO",582,3326,17.498496692723992784000
"PALMIRA",552,65368,0.844449883735160935000
"SEVILLA",520,8370,6.212664277180406213000
"TRUJILLO",460,8809,5.221932114882506527000
"FLORIDA",452,16406,2.755089601365354139000
"CALI",449,41131,1.091634047312246238000
"CALIMA",422,5216,8.090490797546012270000
"CANDELARIA",422,62498,0.675221607091426926000
"ANSERMANUEVO",417,5710,7.302977232924693520000
"EL ÁGUILA",413,5224,7.905819295558958652000
"LA CUMBRE",398,10080,3.948412698412698413000
"BUGALAGRANDE",398,10532,3.778959361944549943000
"RIOFRÍO",341,7692,4.433177327093083723000
"GINEBRA",302,10444,2.891612409038682497000
"RESTREPO",299,4172,7.166826462128475551000
"YUMBO",290,10353,2.801120448179271709000
"YOTOCO",286,7057,4.052713617684568514000
"ARGELIA",274,2411,11.364579012857735380000
"CAICEDONIA",267,4601,5.803086285590089111000
"ROLDANILLO",266,7889,3.371783496007098492000
"EL CAIRO",264,3591,7.351712614870509607000
"EL CERRITO",253,19344,1.307899090157154673000
"VERSALLES",242,2962,8.170155300472653612000
"TORO",226,3736,6.049250535331905782000
"PRADERA",174,5068,3.433307024467245462000
"BUGA",169,14717,1.148331861112998573000
"ULLOA",159,2573,6.179556937427127866000
"ZARZAL",155,9536,1.625419463087248322000
"LA UNIÓN",150,4947,3.032140691328077623000
"GUACARÍ",145,11553,1.255085259240024236000
"LA VICTORIA",144,3006,4.790419161676646707000
"OBANDO",143,2898,4.934437543133195307000
"ALCALÁ",139,2622,5.301296720061022121000
"VIJES",111,3183,3.487276154571159284000
"SAN PEDRO",81,8500,0.952941176470588235000
"ANDALUCÍA",70,3716,1.883745963401506997000
"CARTAGO",59,2824,2.089235127478753541000
