"municipio","priv_trab_infantil","pob_total","prc_priv_trab_infantil"
"BUENAVENTURA",971,43484,2.233005243307883359000
"DAGUA",418,29552,1.414455874390904169000
"TRUJILLO",396,8809,4.495402429333636054000
"BOLÍVAR",344,10140,3.392504930966469428000
"JAMUNDÍ",344,25853,1.330599930375585038000
"EL ÁGUILA",288,5224,5.513016845329249617000
"TULUÁ",262,30930,0.847074038150662787000
"SEVILLA",241,8370,2.879330943847072879000
"EL DOVIO",205,3326,6.163559831629585087000
"EL CAIRO",205,3591,5.708716235032024506000
"BUGALAGRANDE",179,10532,1.699582225598176984000
"CAICEDONIA",155,4601,3.368832862421212780000
"LA CUMBRE",150,10080,1.488095238095238095000
"FLORIDA",148,16406,0.902108984517859320000
"CANDELARIA",129,62498,0.206406605011360364000
"ANSERMANUEVO",127,5710,2.224168126094570928000
"ARGELIA",119,2411,4.935711323102447117000
"ROLDANILLO",111,7889,1.407022436303714032000
"RIOFRÍO",104,7692,1.352054082163286531000
"PALMIRA",104,65368,0.159099253457349162000
"YOTOCO",97,7057,1.374521751452458552000
"CALI",93,41131,0.226106829398750334000
"BUGA",89,14717,0.604742814432289189000
"YUMBO",88,10353,0.849995170481985898000
"RESTREPO",87,4172,2.085330776605944391000
"EL CERRITO",77,19344,0.398056244830438379000
"TORO",75,3736,2.007494646680942184000
"VERSALLES",74,2962,2.498311951384199865000
"GINEBRA",73,10444,0.698965913443125239000
"LA UNIÓN",66,4947,1.334141904184354154000
"SAN PEDRO",66,8500,0.776470588235294118000
"LA VICTORIA",61,3006,2.029274783765801730000
"CALIMA",55,5216,1.054447852760736196000
"GUACARÍ",51,11553,0.441443780836146455000
"PRADERA",49,5068,0.966850828729281768000
"ULLOA",41,2573,1.593470656820831714000
"OBANDO",31,2898,1.069703243616287095000
"ALCALÁ",25,2622,0.953470633104500381000
"ANDALUCÍA",24,3716,0.645855758880516685000
"CARTAGO",22,2824,0.779036827195467422000
"ZARZAL",20,9536,0.209731543624161074000
"VIJES",18,3183,0.565504241281809614000
