"municipio","hogjfmujr"
"BUENAVENTURA",2212
"DAGUA",2093
"PALMIRA",1572
"JAMUNDÍ",1191
"YUMBO",1050
"CALI",974
"TULUÁ",899
"LA CUMBRE",662
"CANDELARIA",580
"SEVILLA",517
"FLORIDA",510
"BUGA",500
"BUGALAGRANDE",427
"CAICEDONIA",415
"BOLÍVAR",375
"EL CERRITO",373
"ANSERMANUEVO",360
"RESTREPO",356
"CALIMA",344
"TRUJILLO",316
"YOTOCO",311
"RIOFRÍO",305
"ROLDANILLO",304
"GUACARÍ",291
"ANDALUCÍA",286
"GINEBRA",279
"PRADERA",262
"VIJES",224
"CARTAGO",220
"LA UNIÓN",209
"SAN PEDRO",203
"ZARZAL",178
"EL ÁGUILA",173
"EL DOVIO",162
"ALCALÁ",143
"EL CAIRO",133
"VERSALLES",110
"ULLOA",110
"ARGELIA",92
"OBANDO",86
"TORO",73
"LA VICTORIA",58
