"municipio","pob_ed_productiva","pob_total","porc"
"PALMIRA",29910,65368,45.75633337412801
"CANDELARIA",28896,62498,46.23507952254472
"CALI",18739,41131,45.55931049573314
"BUENAVENTURA",16579,43484,38.12666727991905
"TULUÁ",13045,30930,42.175881021661816
"DAGUA",12160,29552,41.14780725500812
"JAMUNDÍ",11061,25853,42.784202993849846
"EL CERRITO",8493,19344,43.905086848635236
"FLORIDA",7271,16406,44.31915152992808
"BUGA",6193,14717,42.08058707617042
"GUACARÍ",4874,11553,42.188176231281915
"YUMBO",4575,10353,44.19008982903506
"GINEBRA",4478,10444,42.876292608196096
"BUGALAGRANDE",4182,10532,39.707557918723886
"ZARZAL",3934,9536,41.25419463087248
"LA CUMBRE",3895,10080,38.64087301587302
"BOLÍVAR",3881,10140,38.2741617357002
"SAN PEDRO",3616,8500,42.54117647058823
"TRUJILLO",3396,8809,38.55148143943694
"SEVILLA",3260,8370,38.94862604540024
"ROLDANILLO",3031,7889,38.42058562555457
"YOTOCO",2953,7057,41.8449766189599
"RIOFRÍO",2918,7692,37.935517420696826
"ANSERMANUEVO",2219,5710,38.86164623467601
"CALIMA",2165,5216,41.5069018404908
"PRADERA",2069,5068,40.82478295185477
"EL ÁGUILA",2000,5224,38.28483920367535
"LA UNIÓN",1970,4947,39.82211441277542
"CAICEDONIA",1865,4601,40.53466637687459
"RESTREPO",1666,4172,39.93288590604027
"ANDALUCÍA",1497,3716,40.28525296017223
"TORO",1424,3736,38.11563169164882
"EL CAIRO",1359,3591,37.84461152882206
"CARTAGO",1302,2824,46.10481586402266
"EL DOVIO",1227,3326,36.89116055321708
"VIJES",1216,3183,38.202953188815584
"VERSALLES",1193,2962,40.27683997299122
"OBANDO",1045,2898,36.05935127674258
"LA VICTORIA",1041,3006,34.63073852295409
"ULLOA",1021,2573,39.68130586863583
"ALCALÁ",1021,2622,38.9397406559878
"ARGELIA",874,2411,36.250518457071756
