"municipio","vvsn_acue","tot_viviendas","porc"
"BUENAVENTURA",9049,15433,58.634095768807101665000
"DAGUA",2444,17612,13.876902112196229843000
"PALMIRA",2014,26753,7.528127686614585280000
"CANDELARIA",1879,19350,9.710594315245478036000
"JAMUNDÍ",1802,11355,15.869660942316160282000
"CALI",1485,16723,8.879985648508042815000
"SEVILLA",1360,3822,35.583464154892726321000
"TULUÁ",1284,12542,10.237601658427682985000
"YUMBO",1185,6883,17.216330088624146448000
"ANSERMANUEVO",1142,3591,31.801726538568643832000
"FLORIDA",905,6113,14.804514968100768853000
"TRUJILLO",859,3368,25.504750593824228029000
"BUGALAGRANDE",761,3961,19.212320121181519818000
"CAICEDONIA",722,1961,36.817950025497195309000
"RIOFRÍO",696,3468,20.069204152249134948000
"CALIMA",691,3829,18.046487333507443197000
"BOLÍVAR",681,4419,15.410726408689748812000
"EL ÁGUILA",671,2605,25.758157389635316699000
"PRADERA",663,2140,30.981308411214953271000
"GINEBRA",654,4044,16.172106824925816024000
"BUGA",606,5939,10.203738003030813268000
"LA CUMBRE",591,7346,8.045194663762591887000
"EL CAIRO",513,2155,23.805104408352668213000
"YOTOCO",513,3060,16.764705882352941176000
"EL CERRITO",511,7897,6.470811700645814866000
"EL DOVIO",499,1502,33.222370173102529960000
"TORO",477,1842,25.895765472312703583000
"CARTAGO",459,1391,32.997843278217109993000
"ROLDANILLO",447,3575,12.503496503496503497000
"SAN PEDRO",378,3004,12.583222370173102530000
"LA UNIÓN",377,2306,16.348655680832610581000
"ARGELIA",352,1037,33.944069431051108968000
"VERSALLES",326,1651,19.745608721986674743000
"LA VICTORIA",316,1574,20.076238881829733164000
"RESTREPO",296,2066,14.327202323330106486000
"ZARZAL",296,4156,7.122232916265640038000
"GUACARÍ",281,4994,5.626752102523027633000
"VIJES",247,2051,12.042905899561189664000
"ANDALUCÍA",223,1822,12.239297475301866081000
"OBANDO",137,1458,9.396433470507544582000
"ULLOA",89,1077,8.263695450324976787000
"ALCALÁ",53,1878,2.822151224707135250000
