"municipio","vvsn_inter","tot_viviendas","porc"
"PALMIRA",15417,26753,57.627181998280566665000
"BUENAVENTURA",10920,15433,70.757467763882589257000
"CANDELARIA",9824,19350,50.770025839793281654000
"DAGUA",9387,17612,53.298887122416534181000
"CALI",8151,16723,48.741254559588590564000
"JAMUNDÍ",7333,11355,64.579480405107881990000
"TULUÁ",7015,12542,55.932068250677722851000
"FLORIDA",4375,6113,71.568787829216424014000
"EL CERRITO",3846,7897,48.702038748891984298000
"YUMBO",3690,6883,53.610344326601772483000
"BUGA",3623,5939,61.003535948812931470000
"GUACARÍ",3528,4994,70.644773728474169003000
"BUGALAGRANDE",3099,3961,78.237818732643271901000
"BOLÍVAR",3060,4419,69.246435845213849287000
"SEVILLA",3017,3822,78.937728937728937729000
"LA CUMBRE",2753,7346,37.476177511570922951000
"GINEBRA",2745,4044,67.878338278931750742000
"RIOFRÍO",2659,3468,76.672433679354094579000
"ZARZAL",2510,4156,60.394610202117420597000
"TRUJILLO",2481,3368,73.663895486935866983000
"ROLDANILLO",2397,3575,67.048951048951048951000
"SAN PEDRO",2263,3004,75.332889480692410120000
"ANSERMANUEVO",2086,3591,58.089668615984405458000
"YOTOCO",1973,3060,64.477124183006535948000
"EL ÁGUILA",1583,2605,60.767754318618042226000
"CALIMA",1573,3829,41.081222251240532776000
"ANDALUCÍA",1561,1822,85.675082327113062569000
"LA UNIÓN",1518,2306,65.828274067649609714000
"CAICEDONIA",1489,1961,75.930647628760836308000
"PRADERA",1423,2140,66.495327102803738318000
"RESTREPO",1288,2066,62.342691190706679574000
"TORO",1131,1842,61.400651465798045603000
"EL CAIRO",1128,2155,52.343387470997679814000
"VIJES",1043,2051,50.853242320819112628000
"EL DOVIO",1004,1502,66.844207723035952064000
"LA VICTORIA",956,1574,60.736975857687420584000
"VERSALLES",938,1651,56.814052089642640824000
"OBANDO",927,1458,63.580246913580246914000
"ALCALÁ",826,1878,43.982960596379126731000
"ARGELIA",778,1037,75.024108003857280617000
"ULLOA",757,1077,70.287836583101207057000
"CARTAGO",726,1391,52.192667145938173976000
